Window,Num threads,Num Variables,Num locks,Num unique good writes,Max stack size,Max seen size,Num mmaps,Time taken (sec),Window result
168,1,0,2,0,1,10,7,0.004,true
169,1,1,3,1,1,10,7,0.004,true
170,1,0,2,0,1,10,7,0.004,true
171,1,1,3,1,1,10,7,0.004,true
172,1,0,2,0,1,10,7,0.004,true
173,1,1,3,1,1,10,7,0.004,true
174,1,0,2,0,1,10,7,0.003,true
175,1,1,2,1,1,10,7,0.003,true
176,1,0,2,0,1,10,7,0.004,true
177,1,1,2,1,1,10,7,0.004,true
178,1,0,2,0,1,10,7,0.004,true
179,1,1,2,1,1,10,7,0.003,true
180,1,0,3,0,1,10,7,0.004,true
181,1,1,2,1,1,10,7,0.004,true
182,1,1,3,1,1,10,7,0.003,true
183,1,0,2,0,1,10,7,0.003,true
184,1,1,3,1,1,10,7,0.004,true
185,1,0,1,0,1,10,7,0.004,true
186,1,1,3,1,1,10,7,0.003,true
187,1,0,2,0,1,10,7,0.003,true
188,1,1,3,1,1,10,7,0.003,true
189,1,0,2,0,1,10,7,0.004,true
190,1,1,3,1,1,10,7,0.003,true
191,1,0,2,0,1,10,7,0.003,true
192,1,1,3,1,1,10,7,0.003,true
193,1,0,2,0,1,10,7,0.004,true
194,1,1,2,1,1,10,7,0.003,true
195,1,0,2,0,1,10,7,0.003,true
196,1,1,2,1,1,10,7,0.003,true
197,1,0,2,0,1,10,7,0.004,true
198,1,1,2,1,1,10,7,0.003,true
199,1,0,3,0,1,10,7,0.003,true
200,1,1,2,1,1,10,7,0.004,true
201,1,1,2,1,1,10,7,0.004,true
202,1,1,2,1,1,10,7,0.003,true
203,1,0,3,0,1,10,7,0.003,true
204,1,1,2,1,1,10,7,0.003,true
205,1,2,4,2,1,10,7,0.003,true
206,1,1,2,1,1,10,7,0.004,true
207,1,1,2,1,1,10,7,0.003,true
208,1,2,3,2,1,10,7,0.003,true
209,1,0,2,0,1,10,7,0.003,true
210,1,1,2,1,1,10,7,0.003,true
211,1,3,3,3,1,10,7,0.003,true
212,1,2,4,1,1,10,7,0.003,true
213,1,1,2,2,1,10,7,0.003,true
214,1,2,3,2,1,10,7,0.003,true
215,1,1,3,1,1,10,7,0.003,true
216,1,4,3,3,1,10,7,0.003,true
217,1,1,4,0,1,10,7,0.003,true
218,1,3,3,1,1,10,7,0.003,true
219,1,2,2,2,1,10,7,0.003,true
220,1,1,5,0,1,10,7,0.003,true
221,1,1,1,2,1,10,7,0.003,true
222,1,2,5,1,1,10,7,0.003,true
223,1,3,3,3,1,10,7,0.003,true
224,1,2,3,1,1,10,7,0.003,true
225,1,2,1,0,1,10,7,0.003,true
226,1,3,2,2,1,10,7,0.003,true
227,1,2,4,1,1,10,7,0.003,true
228,1,1,3,1,1,10,7,0.003,true
229,1,2,3,2,1,10,7,0.003,true
230,1,2,5,1,1,10,7,0.003,true
231,1,4,3,3,1,10,7,0.003,true
232,1,1,4,0,1,10,7,0.003,true
233,1,3,3,1,1,10,7,0.003,true
234,1,2,2,2,1,10,7,0.003,true
235,1,1,5,0,1,10,7,0.003,true
236,1,1,1,2,1,10,7,0.003,true
237,1,2,5,1,1,10,7,0.003,true
238,1,3,3,3,1,10,7,0.004,true
239,1,2,3,1,1,10,7,0.004,true
240,1,2,1,0,1,10,7,0.004,true
241,1,3,2,2,1,10,7,0.004,true
242,1,1,4,1,1,10,7,0.004,true
243,1,2,3,1,1,10,7,0.004,true
244,1,1,2,1,1,10,7,0.004,true
245,1,2,4,2,1,10,7,0.004,true
246,1,3,3,2,1,10,7,0.004,true
247,1,1,4,1,1,10,7,0.004,true
248,1,3,2,1,1,10,7,0.004,true
249,1,2,2,1,1,10,7,0.004,true
250,1,2,4,1,1,10,7,0.004,true
251,1,1,2,1,1,10,7,0.004,true
252,1,2,3,2,1,10,7,0.004,true
253,1,2,3,2,1,10,7,0.004,true
254,1,2,3,2,1,10,7,0.004,true
255,1,2,2,0,1,10,7,0.004,true
256,1,2,3,2,1,10,7,0.004,true
257,1,1,4,1,1,10,7,0.004,true
258,1,2,3,1,1,10,7,0.004,true
259,1,1,2,1,1,10,7,0.004,true
260,1,2,4,2,1,10,7,0.005,true
261,1,3,3,2,1,10,7,0.004,true
262,1,1,4,1,1,10,7,0.004,true
263,1,3,2,1,1,10,7,0.004,true
264,1,2,3,1,1,10,7,0.004,true
265,1,2,4,1,1,10,7,0.004,true
266,1,1,3,1,1,10,7,0.004,true
267,1,2,3,2,1,10,7,0.004,true
268,1,2,5,2,1,10,7,0.004,true
269,1,3,3,2,1,10,7,0.004,true
270,1,2,3,0,1,10,7,0.004,true
271,1,2,3,1,1,10,7,0.004,true
272,1,2,3,2,1,10,7,0.004,true
273,1,2,4,0,1,10,7,0.004,true
274,1,1,1,1,1,10,7,0.004,true
275,1,2,4,2,1,10,7,0.004,true
276,1,3,3,3,1,10,7,0.004,true
277,1,3,3,1,1,10,7,0.004,true
278,1,2,2,0,1,10,7,0.004,true
279,1,3,3,2,1,10,7,0.004,true
280,1,1,4,1,1,10,7,0.004,true
281,1,2,3,1,1,10,7,0.004,true
282,1,1,3,1,1,10,7,0.004,true
283,1,2,4,2,1,10,7,0.004,true
284,1,4,3,3,1,10,7,0.004,true
285,1,2,5,1,1,10,7,0.005,true
286,1,3,3,2,1,10,7,0.004,true
287,1,1,1,1,1,10,7,0.004,true
288,1,2,4,2,1,10,7,0.004,true
289,1,3,4,2,1,10,7,0.005,true
290,1,2,4,2,1,10,7,0.004,true
291,1,3,3,1,1,10,7,0.004,true
292,1,1,1,2,1,10,7,0.004,true
293,1,2,5,1,1,10,7,0.005,true
294,1,3,3,3,1,10,7,0.004,true
295,1,2,3,1,1,10,7,0.004,true
296,1,3,2,2,1,10,7,0.005,true
297,1,1,2,1,1,10,7,0.004,true
298,1,2,3,2,1,10,7,0.004,true
299,1,2,3,2,1,10,7,0.004,true
300,1,3,2,2,1,10,7,0.005,true
301,1,3,3,2,1,10,7,0.004,true
302,1,1,3,1,1,10,7,0.004,true
303,1,2,3,2,1,10,7,0.004,true
304,1,2,5,2,1,10,7,0.004,true
305,1,3,3,2,1,10,7,0.004,true
306,1,2,4,1,1,10,7,0.004,true
307,1,2,3,2,1,10,7,0.005,true
308,1,1,3,1,1,10,7,0.004,true
309,1,2,4,2,1,10,7,0.004,true
310,1,4,3,3,1,10,7,0.004,true
311,1,2,5,1,1,10,7,0.004,true
312,1,3,3,2,1,10,7,0.004,true
313,1,1,1,1,1,10,7,0.004,true
314,1,2,4,2,1,10,7,0.004,true
315,1,3,4,2,1,10,7,0.004,true
316,1,2,4,2,1,10,7,0.004,true
317,1,3,3,1,1,10,7,0.004,true
318,1,1,1,2,1,10,7,0.005,true
319,1,2,5,1,1,10,7,0.004,true
320,1,3,3,3,1,10,7,0.004,true
321,1,2,3,1,1,10,7,0.004,true
322,1,3,2,2,1,10,7,0.004,true
323,1,1,2,1,1,10,7,0.004,true
324,1,2,3,2,1,10,7,0.004,true
325,1,2,3,2,1,10,7,0.004,true
326,1,3,2,2,1,10,7,0.004,true
327,1,3,3,2,1,10,7,0.004,true
328,1,1,3,1,1,10,7,0.004,true
329,1,2,3,2,1,10,7,0.005,true
330,1,2,5,2,1,10,7,0.004,true
331,1,2,3,2,1,10,7,0.004,true
332,1,2,3,0,1,10,7,0.004,true
333,1,2,3,2,1,10,7,0.004,true
334,1,1,3,1,1,10,7,0.004,true
335,1,2,3,1,1,10,7,0.004,true
336,1,1,2,1,1,10,7,0.005,true
337,1,2,4,2,1,10,7,0.004,true
338,1,2,3,2,1,10,7,0.004,true
339,1,1,2,1,1,10,7,0.004,true
340,1,1,3,1,1,10,7,0.004,true
341,1,1,3,1,1,10,7,0.004,true
342,1,1,2,1,1,10,7,0.004,true
343,1,2,3,2,1,10,7,0.004,true
344,1,2,3,1,1,10,7,0.004,true
345,1,2,1,0,1,10,7,0.004,true
346,1,2,2,2,1,10,7,0.004,true
347,1,2,4,1,1,10,7,0.005,true
348,1,1,3,1,1,10,7,0.004,true
349,1,2,3,2,1,10,7,0.004,true
350,1,2,5,2,1,10,7,0.004,true
351,1,1,2,1,1,10,7,0.004,true
352,1,1,2,1,1,10,7,0.004,true
353,1,4,3,3,1,10,7,0.004,true
354,1,2,5,1,1,10,7,0.005,true
355,1,2,3,2,1,10,7,0.004,true
356,1,1,2,1,1,10,7,0.004,true
357,1,2,4,2,1,10,7,0.005,true
358,1,3,3,2,1,10,7,0.004,true
359,1,2,4,2,1,10,7,0.004,true
360,1,3,3,2,1,10,7,0.004,true
361,1,1,1,2,1,10,7,0.004,true
362,1,2,5,2,1,10,7,0.004,true
363,1,3,4,2,1,10,7,0.004,true
364,1,2,4,2,1,10,7,0.005,true
365,1,3,3,1,1,10,7,0.004,true
366,1,1,1,2,1,10,7,0.004,true
367,1,2,5,1,1,10,7,0.004,true
368,1,3,3,3,1,10,7,0.004,true
369,1,2,3,1,1,10,7,0.004,true
370,1,3,2,2,1,10,7,0.004,true
371,1,1,2,1,1,10,7,0.005,true
372,1,2,3,2,1,10,7,0.004,true
373,1,2,3,2,1,10,7,0.004,true
374,1,3,2,2,1,10,7,0.004,true
375,1,2,2,0,1,10,7,0.004,true
376,1,3,3,2,1,10,7,0.004,true
377,1,1,3,1,1,10,7,0.004,true
378,1,2,4,1,1,10,7,0.005,true
379,1,1,1,2,1,10,7,0.004,true
380,1,2,5,2,1,10,7,0.004,true
381,1,3,4,2,1,10,7,0.005,true
382,1,2,4,1,1,10,7,0.004,true
383,1,3,2,2,1,10,7,0.004,true
384,1,1,1,1,1,10,7,0.004,true
385,1,2,4,2,1,10,7,0.005,true
386,1,3,3,3,1,10,7,0.004,true
387,1,3,3,1,1,10,7,0.004,true
388,1,3,3,2,1,10,7,0.004,true
389,1,1,2,1,1,10,7,0.004,true
390,1,2,3,2,1,10,7,0.004,true
391,1,2,4,2,1,10,7,0.004,true
392,1,3,2,2,1,10,7,0.005,true
393,1,3,4,2,1,10,7,0.004,true
394,1,2,3,1,1,10,7,0.004,true
395,1,2,3,2,1,10,7,0.005,true
396,1,2,5,1,1,10,7,0.004,true
397,1,4,3,3,1,10,7,0.004,true
398,1,2,5,1,1,10,7,0.004,true
399,1,2,3,2,1,10,7,0.005,true
400,1,1,2,1,1,10,7,0.004,true
401,1,2,4,2,1,10,7,0.004,true
402,1,3,3,2,1,10,7,0.004,true
403,1,1,4,1,1,10,7,0.004,true
404,1,3,2,1,1,10,7,0.004,true
405,1,2,3,1,1,10,7,0.004,true
406,1,2,4,1,1,10,7,0.005,true
407,1,1,3,1,1,10,7,0.004,true
408,1,3,3,2,1,10,7,0.004,true
409,1,1,3,1,1,10,7,0.005,true
410,1,2,4,2,1,10,7,0.004,true
411,1,2,4,2,1,10,7,0.004,true
412,1,2,2,2,1,10,7,0.004,true
413,1,1,2,0,1,10,7,0.005,true
414,1,2,3,2,1,10,7,0.004,true
415,1,1,4,1,1,10,7,0.004,true
416,1,0,3,0,1,10,7,0.004,true
417,1,2,3,2,1,10,7,0.005,true
418,1,1,4,1,1,10,7,0.004,true
419,1,2,5,2,1,10,7,0.004,true
420,1,3,4,2,1,10,7,0.004,true
421,1,1,4,1,1,10,7,0.004,true
422,1,2,2,1,1,10,7,0.004,true
423,1,1,3,1,1,10,7,0.004,true
424,1,1,4,1,1,10,7,0.004,true
425,1,1,2,1,1,10,7,0.004,true
426,1,2,2,2,1,10,7,0.004,true
427,1,2,4,2,1,10,7,0.004,true
428,1,2,5,1,1,10,7,0.004,true
429,1,3,3,3,1,10,7,0.004,true
430,1,2,3,1,1,10,7,0.004,true
431,1,2,1,0,1,10,7,0.004,true
432,1,3,2,2,1,10,7,0.004,true
433,1,1,4,1,1,10,7,0.004,true
434,1,2,3,1,1,10,7,0.004,true
435,1,2,3,1,1,10,7,0.004,true
436,1,1,3,1,1,10,7,0.004,true
437,1,2,5,2,1,10,7,0.004,true
438,1,2,4,2,1,10,7,0.004,true
439,1,3,3,3,1,10,7,0.004,true
440,1,1,4,0,1,10,7,0.004,true
441,1,2,3,1,1,10,7,0.005,true
442,1,2,3,2,1,10,7,0.005,true
443,1,2,4,0,1,10,7,0.005,true
444,1,1,2,1,1,10,7,0.005,true
445,1,2,3,2,1,10,7,0.005,true
446,1,2,4,2,1,10,7,0.005,true
447,1,2,5,2,1,10,7,0.005,true
448,1,2,4,1,1,10,7,0.005,true
449,1,1,2,2,1,10,7,0.005,true
450,1,2,3,3,1,10,7,0.005,true
451,1,2,3,1,1,10,7,0.006,true
452,1,3,2,2,1,10,7,0.005,true
453,1,1,2,1,1,10,7,0.005,true
454,1,3,2,2,1,10,7,0.006,true
455,1,2,3,2,1,10,7,0.005,true
456,1,2,5,2,1,10,7,0.005,true
457,1,2,4,1,1,10,7,0.005,true
458,1,2,3,3,1,10,7,0.005,true
459,1,3,3,1,1,10,7,0.005,true
460,1,3,3,2,1,10,7,0.005,true
461,1,1,2,1,1,10,7,0.005,true
462,1,2,3,2,1,10,7,0.006,true
463,1,2,4,2,1,10,7,0.005,true
464,1,3,2,1,1,10,7,0.005,true
465,1,3,4,2,1,10,7,0.005,true
466,1,2,3,1,1,10,7,0.005,true
467,1,3,3,2,1,10,7,0.005,true
468,1,2,2,1,1,10,7,0.005,true
469,1,2,3,2,1,10,7,0.005,true
470,1,2,3,2,1,10,7,0.005,true
471,1,3,2,2,1,10,7,0.005,true
472,1,3,3,2,1,10,7,0.005,true
473,1,1,3,1,1,10,7,0.005,true
474,1,3,3,2,1,10,7,0.005,true
475,1,1,3,1,1,10,7,0.005,true
476,1,2,4,2,1,10,7,0.005,true
477,1,3,3,3,1,10,7,0.005,true
478,1,3,3,1,1,10,7,0.005,true
479,1,3,3,2,1,10,7,0.005,true
480,1,1,2,1,1,10,7,0.005,true
481,1,3,3,2,1,10,7,0.005,true
482,1,1,3,1,1,10,7,0.005,true
483,1,2,3,2,1,10,7,0.005,true
484,1,2,3,2,1,10,7,0.005,true
485,1,3,2,2,1,10,7,0.005,true
486,1,3,3,2,1,10,7,0.005,true
487,1,1,3,1,1,10,7,0.005,true
488,1,3,3,2,1,10,7,0.005,true
489,1,1,3,1,1,10,7,0.005,true
490,1,2,4,2,1,10,7,0.005,true
491,1,3,3,3,1,10,7,0.005,true
492,1,2,3,1,1,10,7,0.006,true
493,1,3,2,2,1,10,7,0.005,true
494,1,1,2,1,1,10,7,0.005,true
495,1,2,2,2,1,10,7,0.005,true
496,1,2,4,2,1,10,7,0.005,true
497,1,2,5,1,1,10,7,0.005,true
498,1,3,3,3,1,10,7,0.006,true
499,1,2,3,1,1,10,7,0.005,true
500,1,3,2,2,1,10,7,0.005,true
501,1,1,2,1,1,10,7,0.006,true
502,1,2,3,2,1,10,7,0.005,true
503,1,2,3,2,1,10,7,0.005,true
504,1,3,2,2,1,10,7,0.005,true
505,1,3,3,2,1,10,7,0.005,true
506,1,1,3,1,1,10,7,0.005,true
507,1,2,3,2,1,10,7,0.005,true
508,1,2,5,2,1,10,7,0.005,true
509,1,3,3,2,1,10,7,0.005,true
510,1,2,4,1,1,10,7,0.005,true
511,1,2,3,2,1,10,7,0.005,true
512,1,1,3,1,1,10,7,0.005,true
513,1,2,4,2,1,10,7,0.005,true
514,1,4,3,3,1,10,7,0.005,true
515,1,2,5,1,1,10,7,0.005,true
516,1,3,3,2,1,10,7,0.005,true
517,1,1,1,1,1,10,7,0.005,true
518,1,2,4,2,1,10,7,0.006,true
519,1,3,4,2,1,10,7,0.005,true
520,1,2,4,2,1,10,7,0.005,true
521,1,3,3,1,1,10,7,0.006,true
522,1,1,1,2,1,10,7,0.005,true
523,1,2,5,1,1,10,7,0.005,true
524,1,3,3,3,1,10,7,0.006,true
525,1,2,3,1,1,10,7,0.005,true
526,1,3,2,2,1,10,7,0.005,true
527,1,1,2,1,1,10,7,0.006,true
528,1,2,3,2,1,10,7,0.005,true
529,1,2,3,2,1,10,7,0.005,true
530,1,3,2,2,1,10,7,0.005,true
531,1,3,3,2,1,10,7,0.005,true
532,1,1,3,1,1,10,7,0.005,true
533,1,3,3,2,1,10,7,0.005,true
534,1,1,3,1,1,10,7,0.005,true
535,1,2,4,2,1,10,7,0.005,true
536,1,2,4,1,1,10,7,0.006,true
537,1,2,2,2,1,10,7,0.005,true
538,1,2,3,2,1,10,7,0.005,true
539,1,1,3,1,1,10,7,0.006,true
540,1,2,3,1,1,10,7,0.005,true
541,1,1,5,1,1,10,7,0.006,true
542,1,2,4,2,1,10,7,0.005,true
543,1,3,3,3,1,10,7,0.005,true
544,1,1,5,1,1,10,7,0.006,true
545,1,2,3,2,1,10,7,0.005,true
546,1,2,3,2,1,10,7,0.005,true
547,1,2,3,1,1,10,7,0.005,true
548,1,2,5,2,1,10,7,0.005,true
549,1,2,5,2,1,10,7,0.005,true
550,1,3,3,2,1,10,7,0.006,true
551,1,2,4,1,1,10,7,0.005,true
552,1,2,3,2,1,10,7,0.005,true
553,1,2,3,1,1,10,7,0.006,true
554,1,2,3,2,1,10,7,0.005,true
555,1,3,5,2,1,10,7,0.005,true
556,1,2,5,1,1,10,7,0.006,true
557,1,3,3,3,1,10,7,0.005,true
558,1,2,4,2,1,10,7,0.005,true
559,1,1,3,0,1,10,7,0.006,true
560,1,2,2,2,1,10,7,0.005,true
561,1,1,4,1,1,10,7,0.005,true
562,1,2,4,2,1,10,7,0.006,true
563,1,2,4,2,1,10,7,0.005,true
564,1,2,4,2,1,10,7,0.005,true
565,1,2,3,2,1,10,7,0.005,true
566,1,2,3,1,1,10,7,0.005,true
567,1,1,3,1,1,10,7,0.005,true
568,1,2,5,2,1,10,7,0.005,true
569,1,2,4,2,1,10,7,0.005,true
570,1,4,3,3,1,10,7,0.005,true
571,1,2,5,1,1,10,7,0.005,true
572,1,3,3,2,1,10,7,0.005,true
573,1,2,3,1,1,10,7,0.005,true
574,1,2,3,1,1,10,7,0.006,true
575,1,2,4,2,1,10,7,0.005,true
576,1,2,4,2,1,10,7,0.005,true
577,1,3,3,3,1,10,7,0.006,true
578,1,2,5,1,1,10,7,0.005,true
579,1,3,3,2,1,10,7,0.006,true
580,1,2,3,1,1,10,7,0.006,true
581,1,1,3,1,1,10,7,0.005,true
582,1,2,5,2,1,10,7,0.006,true
583,1,2,4,2,1,10,7,0.006,true
584,1,1,2,1,1,10,7,0.006,true
585,1,3,4,2,1,10,7,0.006,true
586,1,2,4,2,1,10,7,0.005,true
587,1,3,3,1,1,10,7,0.005,true
588,1,1,1,2,1,10,7,0.006,true
589,1,2,5,1,1,10,7,0.005,true
590,1,3,3,3,1,10,7,0.006,true
591,1,2,3,1,1,10,7,0.005,true
592,1,3,2,2,1,10,7,0.005,true
593,1,1,2,1,1,10,7,0.005,true
594,1,2,3,2,1,10,7,0.005,true
595,1,2,3,2,1,10,7,0.005,true
596,1,3,2,2,1,10,7,0.005,true
597,1,3,3,2,1,10,7,0.005,true
598,1,1,3,1,1,10,7,0.005,true
599,1,2,3,2,1,10,7,0.005,true
600,1,2,5,2,1,10,7,0.005,true
601,1,2,3,2,1,10,7,0.005,true
602,1,3,4,2,1,10,7,0.005,true
603,1,2,3,1,1,10,7,0.005,true
604,1,2,3,2,1,10,7,0.005,true
605,1,2,5,1,1,10,7,0.005,true
606,1,4,3,3,1,10,7,0.005,true
607,1,2,5,1,1,10,7,0.005,true
